Ability | Noun | Способность | B1  
Grateful | Adjective | благодарный | B2  
Greed | Noun | жадность | B2  
Grieve | Verb | горевать | B2  
Grind | Verb | молоть | B2  
Guarantee | Verb / Noun | гарантия / гарантировать | B2  
Guard | Verb / Noun | охрана / охранять | B2  
Guess | Verb / Noun | догадываться / догадка | B2  
Guide | Verb / Noun | гид / направлять | B2  
Halt | Verb / Noun | останавливаться / остановка | B2  
Handle | Verb / Noun | обращаться / ручка | B2  
Harsh | Adjective | суровый | B2  
Haste | Noun | спешка | B2  
Hate | Verb / Noun | ненавидеть / ненависть | B2  
Haunt | Verb | преследовать (о призраках) | B2  
Hazard | Noun | опасность | B2  
Heal | Verb | лечить | B2  
Hesitate | Verb | колебаться | B2  
Highlight | Verb / Noun | выделять / ключевой момент | B2  
Hinder | Verb | мешать | B2  
Hollow | Adjective | полый | B2  
Honest | Adjective | честный | B2  
Honor | Verb / Noun | честь / чтить | B2  
Horror | Noun | ужас | B2  
Hostile | Adjective | враждебный | B2  
Humble | Adjective | скромный | B2  
Humid | Adjective | влажный | B2  
Hunt | Verb / Noun | охотиться / охота | B2  
Hurry | Verb / Noun | спешить / спешка | B2  
Hurt | Verb / Noun | причинять боль / боль | B2  
Identify | Verb | идентифицировать | B2  
Ignore | Verb | игнорировать | B2  
Illustrate | Verb | иллюстрировать | B2  
Imagine | Verb | представлять | B2  
Immense | Adjective | огромный | B2  
Impact | Verb / Noun | воздействие / воздействовать | B2  
Imply | Verb | подразумевать | B2  
Impose | Verb | навязывать | B2  
Impressive | Adjective | впечатляющий | B2  
Improve | Verb | улучшать | B2  
Incline | Verb / Noun | склонять / склон | B2  
Include | Verb | включать | B2  
Increase | Verb / Noun | увеличивать / увеличение | B2  
Indicate | Verb | указывать | B2  
Inevitable | Adjective | неизбежный | B2  
Infer | Verb | делать вывод | B2  
Influence | Verb / Noun | влияние / влиять | B2  
Inform | Verb | сообщать | B2  
Inherit | Verb | наследовать | B2  
Injure | Verb | ранить | B2  
Innocent | Adjective | невинный | B2  
Inquire | Verb | спрашивать | B2  
Insist | Verb | настаивать | B2  
Inspect | Verb | проверять | B2  
Inspire | Verb | вдохновлять | B2  
Install | Verb | устанавливать | B2  
Insult | Verb / Noun | оскорблять / оскорбление | B2  
Integrate | Verb | интегрировать | B2  
Intend | Verb | намереваться | B2  
Intense | Adjective | интенсивный | B2  
Interfere | Verb | вмешиваться | B2  
Interpret | Verb | интерпретировать | B2  
Interrupt | Verb | прерывать | B2  
Invade | Verb | вторгаться | B2  
Invent | Verb | изобретать | B2  
Invest | Verb | инвестировать | B2  
Investigate | Verb | расследовать | B2  
Involve | Verb | вовлекать | B2  
Irritate | Verb | раздражать | B2  
Isolate | Verb | изолировать | B2  
Issue | Verb / Noun | вопрос / выпускать | B2  
Jealous | Adjective | ревнивый | B2  
Join | Verb | присоединяться | B2  
Judge | Verb / Noun | судья / судить | B2  
Justify | Verb | оправдывать | B2  
Kick | Verb / Noun | пинать / удар | B2  
Kneel | Verb | становиться на колени | B2  
Knock | Verb / Noun | стучать / стук | B2  
Label | Verb / Noun | этикетка / маркировать | B2  
Lack | Verb / Noun | недостаток / не хватать | B2  
Lame | Adjective | хромой | B2  
Landscape | Noun | пейзаж | B2  
Latter | Adjective | последний (из двух) | B2  
Launch | Verb / Noun | запускать / запуск | B2  
Lazy | Adjective | ленивый | B2  
Leak | Verb / Noun | протекать / утечка | B2  
Lean | Verb | наклоняться | B2  
Leap | Verb / Noun | прыгать / прыжок | B2  
Legal | Adjective | законный | B2  
Lend | Verb | одалживать | B2  
Liable | Adjective | ответственный | B2  
Liberate | Verb | освобождать | B2  
License | Noun | лицензия | B2  
Lift | Verb / Noun | поднимать / подъем | B2  
Limit | Verb / Noun | предел / ограничивать | B2  
Link | Verb / Noun | связь / связывать | B2  
Liquid | Noun | жидкость | B2  
Load | Verb / Noun | груз / загружать | B2  
Loan | Verb / Noun | заем / одалживать | B2  
Locate | Verb | находить | B2  
Logical | Adjective | логичный | B2  
Loose | Adjective | свободный | B2  
Loyal | Adjective | верный | B2  
Luxury | Noun | роскошь | B2  
Maintain | Verb | поддерживать | B2  
Major | Adjective | основной | B2  
Manage | Verb | управлять | B2  
Manner | Noun | манера | B2  
Manufacture | Verb | производить | B2  
Margin | Noun | край, запас | B2  
Marvel | Verb / Noun | восхищаться / чудо | B2  
Massive | Adjective | массивный | B2  
Mature | Adjective / Verb | зрелый / созревать | B2  
Maximum | Adjective / Noun | максимальный / максимум | B2  
Mean | verb/Adjective | означать / скупой | B2  
Measure | Verb / Noun | измерять / мера | B2  
Melt | Verb | таять | B2  
Mention | Verb | упоминать | B2  
Merit | Noun | заслуга | B2  
Mild | Adjective | мягкий | B2  
Minimum | Adjective / Noun | минимальный / минимум | B2  
Minor | Adjective | незначительный | B2  
Miracle | Noun | чудо | B2  
Misery | Noun | страдание | B2  
Mislead | Verb | вводить в заблуждение | B2  
Miss | Verb | скучать, пропускать | B2  
Mistake | Verb / Noun | ошибка / ошибаться | B2  
Mix | Verb / Noun | смешивать / смесь | B2  
Moan | Verb / Noun | стонать / стон | B2  
Moderate | Adjective | умеренный | B2  
Modify | Verb | модифицировать | B2  
Moist | Adjective | влажный | B2  
Monitor | Verb / Noun | контролировать / монитор | B2  
Moral | Adjective / Noun | моральный / мораль | B2  
Motion | Noun | движение | B2  
Motivate | Verb | мотивировать | B2  
Mount | Verb | взбираться | B2  
Multiply | Verb | умножать | B2  
Murder | Verb / Noun | убийство / убивать | B2  
Mutter | Verb | бормотать | B2  
Mystery | Noun | тайна | B2  
Narrow | Adjective | узкий | B2  
Neglect | Verb | пренебрегать | B2  
Negotiate | Verb | вести переговоры | B2  
Nervous | Adjective | нервный | B2  
Noble | Adjective | благородный | B2  
Notice | Verb / Noun | замечать / уведомление | B2  
Notify | Verb | уведомлять | B2  
Nourish | Verb | питать | B2  
Nuisance | Noun | неприятность | B2  
Obey | Verb | подчиняться | B2  
Object | Verb / Noun | объект / возражать | B2  
Oblige | Verb | обязывать | B2  
Observe | Verb | наблюдать | B2  
Obstacle | Noun | препятствие | B2  
Obtain | Verb | получать | B2  
Occupy | Verb | занимать | B2  
Occur | Verb | происходить | B2  
Offend | Verb | оскорблять | B2  
Offer | Verb / Noun | предлагать / предложение | B2  
Omit | Verb | пропускать | B2  
Operate | Verb | управлять | B2  
Oppose | Verb | противостоять | B2  
Optimistic | Adjective | оптимистичный | B2  
Organize | Verb | организовывать | B2  
Origin | Noun | происхождение | B2  
Overcome | Verb | преодолевать | B2  
Overlook | Verb | упускать из виду | B2  
Owe | Verb | быть должным | B2  
Pace | Verb / Noun | темп / шагать | B2  
Pack | Verb / Noun | упаковывать / пакет | B2  
Painful | Adjective | болезненный | B2  
Panic | Verb / Noun | паника / паниковать | B2  
Parallel | Adjective / Noun | параллельный / параллель | B2  
Pardon | Verb / Noun | прощать / прощение | B2  
Participate | Verb | участвовать | B2  
Passion | Noun | страсть | B2  
Paste | Verb / Noun | паста / вклеивать | B2  
Patience | Noun | терпение | B2  
Pause | Verb / Noun | делать паузу / пауза | B2  
Peaceful | Adjective | мирный | B2  
Peak | Noun | пик | B2  
Penetrate | Verb | проникать | B2  
Perceive | Verb | воспринимать | B2  
Perform | Verb | выполнять | B2  
Permit | Verb / Noun | разрешать / разрешение | B2  
Persist | Verb | упорствовать | B2  
Persuade | Verb | убеждать | B2  
Phenomenon | Noun | явление | B2  
Pile | Verb / Noun | куча / складывать | B2  
Pioneer | Noun | пионер | B2  
Plain | Adjective | простой | B2  
Pleasant | Adjective | приятный | B2  
Plot | Verb / Noun | сюжет / строить заговор | B2  
Plug | Verb / Noun | вилка / подключать | B2  
Poison | Verb / Noun | яд / отравлять | B2  
Pollute | Verb | загрязнять | B2  
Portion | Noun | порция | B2  
Possess | Verb | обладать | B2  
Postpone | Verb | откладывать | B2  
Potential | Adjective / Noun | потенциальный / потенциал | B2  
Pour | Verb | лить | B2  
Poverty | Noun | бедность | B2  
Powerful | Adjective | мощный | B2  
Practical | Adjective | практичный | B2  
Praise | Verb / Noun | хвалить / похвала | B2  
Pray | Verb | молиться | B2  
Precise | Adjective | точный | B2  
Predict | Verb | предсказывать | B2  
Prefer | Verb | предпочитать | B2  
Prepare | Verb | готовить | B2  
Preserve | Verb | сохранять | B2  
Press | Verb / Noun | нажимать / пресса | B2  
Pretend | Verb | притворяться | B2  
Prevent | Verb | предотвращать | B2  
Previous | Adjective | предыдущий | B2  
Primary | Adjective | основной | B2  
Prime | Adjective | главный | B2  
Principal | Adjective / Noun | основной / директор | B2  
Principle | Noun | принцип | B2  
Prior | Adjective | предшествующий | B2  
Private | Adjective | частный | B2  
Probe | Verb / Noun | исследовать / зонд | B2  
Proceed | Verb | продолжать | B2  
Process | Verb / Noun | процесс / обрабатывать | B2  
Produce | Verb | производить | B2  
Profession | Noun | профессия | B2  
Profit | Verb / Noun | прибыль / получать прибыль | B2  
Progress | Verb / Noun | прогресс / прогрессировать | B2  
Prohibit | Verb | запрещать | B2  
Promise | Verb / Noun | обещать / обещание | B2  
Promote | Verb | продвигать | B2  
Prompt | Adjective / Verb | быстрый / подсказывать | B2  
Propose | Verb | предлагать | B2  
Protect | Verb | защищать | B2  
Protest | Verb / Noun | протестовать / протест | B2  
Prove | Verb | доказывать | B2  
Provide | Verb | предоставлять | B2  
Provoke | Verb | провоцировать | B2  
Public | Adjective | публичный | B2  
Publish | Verb | публиковать | B2  
Pump | Verb / Noun | качать / насос | B2  
Punch | Verb / Noun | ударять кулаком / удар | B2  
Punish | Verb | наказывать | B2  
Purchase | Verb / Noun | покупать / покупка | B2  
Pure | Adjective | чистый | B2  
Purpose | Noun | цель | B2  
Pursue | Verb | преследовать | B2  
Push | Verb / Noun | толкать / толчок | B2  
Puzzle | Verb / Noun | головоломка / озадачивать | B2  
Qualify | Verb | квалифицировать | B2  
Quarrel | Verb / Noun | ссора / ссориться | B2  
Queue | Verb / Noun | очередь / стоять в очереди | B2  
Quit | Verb | бросать | B2  
Quote | Verb / Noun | цитировать / цитата | B2  
Race | Verb / Noun | гонка / соревноваться | B2  
Rage | Noun | ярость | B2  
Raise | Verb | поднимать | B2  
Random | Adjective | случайный | B2  
Range | Verb / Noun | диапазон / варьироваться | B2  
Rank | Verb / Noun | ранг / ранжировать | B2  
Rare | Adjective | редкий | B2  
Rate | Verb / Noun | ставка / оценивать | B2  
Raw | Adjective | сырой | B2  
React | Verb | реагировать | B2  
Realize | Verb | осознавать | B2  
Reason | Verb / Noun | причина / рассуждать | B2  
Rebel | Verb / Noun | бунтарь / бунтовать | B2  
Recall | Verb | вспоминать | B2  
Receipt | Noun | квитанция | B2  
Reckon | Verb | считать | B2  
Recognize | Verb | узнавать | B2  
Recommend | Verb | рекомендовать | B2  
Recover | Verb | восстанавливаться | B2  
Reduce | Verb | уменьшать | B2  
Refer | Verb | ссылаться | B2  
Reflect | Verb | отражать | B2  
Refuse | Verb | отказываться | B2  
Regard | Verb / Noun | рассматривать / уважение | B2  
Register | Verb / Noun | регистрировать / регистр | B2  
Regret | Verb / Noun | сожалеть / сожаление | B2  
Regulate | Verb | регулировать | B2  
Reject | Verb | отвергать | B2  
Relate | Verb | относиться | B2  
Relax | Verb | расслабляться | B2  
Release | Verb / Noun | выпускать / выпуск | B2  
Relieve | Verb | облегчать | B2  
Rely | Verb | полагаться | B2  
Remain | Verb | оставаться | B2  
Remark | Verb / Noun | замечание / замечать | B2  
Remember | Verb | помнить | B2  
Remind | Verb | напоминать | B2  
Remove | Verb | удалять | B2  
Rent | Verb / Noun | арендовать / аренда | B2  
Repair | Verb / Noun | ремонтировать / ремонт | B2  
Repeat | Verb | повторять | B2  
Replace | Verb | заменять | B2  
Reply | Verb / Noun | отвечать / ответ | B2  
Report | Verb / Noun | сообщать / отчет | B2  
Represent | Verb | представлять | B2  
Request | Verb / Noun | запрашивать / запрос | B2  
Require | Verb | требовать | B2  
Rescue | Verb / Noun | спасать / спасение | B2  
Research | Verb / Noun | исследование / исследовать | B2  
Resemble | Verb | напоминать | B2  
Resent | Verb | возмущаться | B2  
Reserve | Verb / Noun | резервировать / резерв | B2  
Resist | Verb | сопротивляться | B2  
Resolve | Verb | решать | B2  
Resort | Noun | курорт | B2  
Resource | Noun | ресурс | B2  
Respect | Verb / Noun | уважать / уважение | B2  
Respond | Verb | отвечать | B2  
Restore | Verb | восстанавливать | B2  
Restrict | Verb | ограничивать | B2  
Result | Verb / Noun | результат / приводить к результату | B2  
Retain | Verb | сохранять | B2  
Retire | Verb | уходить на пенсию | B2   
